repo,sha,parent,child,lic_parent,lic_child,jurisdiction,label
pandas-dev/pandas,,com.github.pandas-dev/pandas,pandoc,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,sphinx-design,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,notebook,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,pickleshare,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,adbc-driver-postgresql,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,pygments,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,actions/upload-artifact,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,pyqt5,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,pyarrow,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,pyreadstat,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,lxml,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,dask,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,pytz,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,pymysql,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,actions/setup-node,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,beautifulsoup4,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,pypa/cibuildwheel,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,adbc-driver-sqlite,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,html5lib,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,gcsfs,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,types-pytz,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,ipykernel,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,jupyterlite-core,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,s3fs,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,meson,unknown,Apache-2.0,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,actions/stale,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,feedparser,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,types-python-dateutil,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,psycopg2-binary,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,pandas-dev/github-doc-previewer,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,scipy,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,ipython,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,pytest-xdist,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,pre-commit,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,xlrd,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,sphinx-copybutton,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,jupyterlite-pyodide-kernel,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,pyxlsb,unknown,unknown,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,actions/download-artifact,unknown,unknown,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,ninja,unknown,unknown,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,pypa/gh-action-pypi-publish,unknown,unknown,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,polars,unknown,unknown,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,pytest-cov,unknown,unknown,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,codespell-project/actions-codespell,unknown,unknown,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,actions/setup-python,unknown,unknown,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,sphinx-gallery,unknown,unknown,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,cython,unknown,unknown,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,github/codeql-action/analyze,unknown,unknown,US,
